Seed	Label	Precision	Recall	F1
16	20	0.0000	0.0000	0.0000
16	21	0.0000	0.0000	0.0000
16	22	0.0000	0.0000	0.0000
16	23	0.0000	0.0000	0.0000
16	24	0.0000	0.0000	0.0000
18	0	0.7736	0.7069	0.7387
18	1	0.6136	0.5745	0.5934
18	2	0.5660	0.7143	0.6316
18	3	0.6875	0.8462	0.7586
18	4	0.7273	0.6667	0.6957
18	5	0.8000	0.7273	0.7619
18	6	0.7000	0.7000	0.7000
18	7	0.6000	1.0000	0.7500
18	8	1.0000	1.0000	1.0000
18	9	0.6000	1.0000	0.7500
18	10	1.0000	0.3333	0.5000
18	11	0.0000	0.0000	0.0000
18	12	0.0000	0.0000	0.0000
18	13	1.0000	1.0000	1.0000
18	14	0.0000	0.0000	0.0000
18	15	1.0000	1.0000	1.0000
18	16	0.5000	1.0000	0.6667
18	17	0.0000	0.0000	0.0000
18	18	0.0000	0.0000	0.0000
18	19	1.0000	1.0000	1.0000
18	20	0.0000	0.0000	0.0000
18	21	0.0000	0.0000	0.0000
18	22	0.0000	0.0000	0.0000
18	23	0.0000	0.0000	0.0000
18	24	0.0000	0.0000	0.0000
20	0	0.7451	0.6552	0.6972
20	1	0.7308	0.8085	0.7677
20	2	0.5614	0.7619	0.6465
20	3	0.7000	0.5385	0.6087
20	4	0.7273	0.6667	0.6957
20	5	0.7778	0.6364	0.7000
20	6	0.7500	0.9000	0.8182
20	7	0.7500	0.5000	0.6000
20	8	1.0000	1.0000	1.0000
20	9	0.7500	1.0000	0.8571
20	10	0.5000	0.6667	0.5714
20	11	0.0000	0.0000	0.0000
20	12	0.0000	0.0000	0.0000
20	13	0.0000	0.0000	0.0000
20	14	0.0000	0.0000	0.0000
20	15	0.5000	1.0000	0.6667
20	16	0.0000	0.0000	0.0000
20	17	0.0000	0.0000	0.0000
20	18	0.0000	0.0000	0.0000
20	19	1.0000	1.0000	1.0000
20	20	0.0000	0.0000	0.0000
20	21	0.0000	0.0000	0.0000
20	22	0.0000	0.0000	0.0000
20	23	0.0000	0.0000	0.0000
20	24	0.0000	0.0000	0.0000
22	0	0.7818	0.7414	0.7611
22	1	0.6739	0.6596	0.6667
22	2	0.6034	0.8333	0.7000
22	3	0.8462	0.8462	0.8462
22	4	0.6000	0.5000	0.5455
22	5	0.8889	0.7273	0.8000
22	6	0.7778	0.7000	0.7368
22	7	0.7500	1.0000	0.8571
22	8	0.8000	1.0000	0.8889
22	9	0.5000	0.3333	0.4000
22	10	0.6667	0.6667	0.6667
22	11	0.5000	0.5000	0.5000
22	12	0.0000	0.0000	0.0000
22	13	0.0000	0.0000	0.0000
22	14	0.0000	0.0000	0.0000
22	15	0.0000	0.0000	0.0000
22	16	0.3333	1.0000	0.5000
22	17	0.0000	0.0000	0.0000
22	18	0.0000	0.0000	0.0000
22	19	1.0000	1.0000	1.0000
22	20	0.0000	0.0000	0.0000
22	21	0.0000	0.0000	0.0000
22	22	0.0000	0.0000	0.0000
22	23	0.0000	0.0000	0.0000
22	24	0.0000	0.0000	0.0000
24	0	0.7361	0.9138	0.8154
24	1	0.7895	0.6383	0.7059
24	2	0.7111	0.7619	0.7356
24	3	0.8182	0.6923	0.7500
24	4	0.7500	0.7500	0.7500
24	5	0.6923	0.8182	0.7500
24	6	0.6364	0.7000	0.6667
24	7	1.0000	0.8333	0.9091
24	8	0.7500	0.7500	0.7500
24	9	1.0000	0.6667	0.8000
24	10	1.0000	1.0000	1.0000
24	11	1.0000	0.5000	0.6667
24	12	0.5000	0.5000	0.5000
24	13	0.5000	0.5000	0.5000
24	14	0.0000	0.0000	0.0000
24	15	0.0000	0.0000	0.0000
24	16	0.5000	1.0000	0.6667
24	17	0.0000	0.0000	0.0000
24	18	0.0000	0.0000	0.0000
24	19	1.0000	1.0000	1.0000
24	20	0.0000	0.0000	0.0000
24	21	0.0000	0.0000	0.0000
24	22	0.0000	0.0000	0.0000
24	23	0.0000	0.0000	0.0000
24	24	0.0000	0.0000	0.0000
